Metrics_Dictionary,,,,
Metric/KPI,Definition,Formula,Dashboard,Section
Total Orders,Total number of unique orders placed,COUNT(DISTINCT order_id),"Executive, Supply Chain",KPI Summary
Total Order Lines,Total number of order line items,COUNT(order_id),Supply Chain,KPI Summary
Total Revenue,Total monetary value of all orders,SUM(total_amount),"Executive, Finance",Revenue Summary
Revenue Loss,Revenue lost due to undelivered quantities,SUM(undelivered_qty × unit_price),"Executive, Finance",Revenue Summary
Revenue Loss Rate,Percentage of potential revenue lost,(Revenue Loss / Total Potential Revenue) × 100,Finance,Revenue Summary
OTIF Rate (On Time In Full),Percentage of orders delivered on time AND in full,(OTIF Orders / Total Orders) × 100,"Executive, Supply Chain",KPI Summary
On-Time Rate,Percentage of orders delivered by agreed date,(On-Time Orders / Total Orders) × 100,"Executive, Supply Chain",KPI Summary
In-Full Rate,Percentage of orders delivered with complete quantity,(In-Full Orders / Total Orders) × 100,"Executive, Supply Chain",KPI Summary
Line Fill Rate,Percentage of order lines delivered in full,(In-Full Lines / Total Lines) × 100,Supply Chain,KPI Summary
Volume Fill Rate,Percentage of ordered quantity actually delivered,(Delivered Qty / Ordered Qty) × 100,"Executive, Supply Chain",KPI Summary
Late Delivery Rate,Percentage of orders delivered after agreed date,(Late Orders / Total Orders) × 100,Supply Chain,Late Delivery Analysis
Average Delay (days),Average number of days orders are late,AVG(actual_date - agreed_date) for late orders,Supply Chain,Late Delivery Analysis
Order Lead Time,Days between order placement and delivery,actual_delivery_date - order_placement_date,Supply Chain,Order Lead Time
Planned Lead Time,Days between order placement and agreed delivery,agreed_delivery_date - order_placement_date,Supply Chain,Order Lead Time
Lead Time Variance,Difference between actual and planned lead time,Actual Lead Time - Planned Lead Time,Supply Chain,Order Lead Time
Shortfall Rate (Volume),Percentage of ordered quantity not delivered,(Undelivered Qty / Ordered Qty) × 100,Supply Chain,Return Rate
Shortfall Rate (Orders),Percentage of orders with quantity shortfall,(Orders with Shortfall / Total Orders) × 100,Supply Chain,Return Rate
Customer Lifetime Value (CLV),Total revenue generated by a customer,SUM(total_amount) per customer,Finance,Customer LTV
Average Order Value,Average revenue per order,Total Revenue / Total Orders,Finance,Customer LTV
Orders per Month,Average monthly order frequency,Total Orders / Months Active,Finance,Customer LTV
Churn Rate,Percentage of customers who stopped ordering,(Churned Customers / Previous Customers) × 100,Finance,Churn Rate
Retention Rate,Percentage of customers who continue ordering,(Retained Customers / Previous Customers) × 100,Finance,Churn Rate
Forecast Accuracy (OT),Gap between target and actual On-Time rate,Actual OT% - Target OT%,Finance,Forecast Accuracy
Forecast Accuracy (IF),Gap between target and actual In-Full rate,Actual IF% - Target IF%,Finance,Forecast Accuracy
Forecast Accuracy (OTIF),Gap between target and actual OTIF rate,Actual OTIF% - Target OTIF%,Finance,Forecast Accuracy
Failure Rate,Percentage of orders not meeting OTIF,100 - OTIF%,Supply Chain,Customer OTIF Discrepancy
Avg Orders/Day,Average number of orders processed daily,Total Orders / Days in Period,Operations,Daily Operations
Active Customers,Number of unique customers placing orders,COUNT(DISTINCT customer_id),"Executive, Operations",KPI Summary
Active Products,Number of unique products ordered,COUNT(DISTINCT product_id),Operations,Daily Operations
Avg Revenue/Day,Average daily revenue generated,Total Revenue / Days in Period,Operations,Daily Operations
Orders per Customer,Average orders placed by each customer,Total Orders / Active Customers,Operations,Customer Activity
Top 20% Revenue Share,Revenue contribution from top 20% customers,Top 20% Customer Revenue / Total Revenue × 100,Operations,Customer Activity
Full Period Retention,Customers active in all months,Customers All Months / Total Customers × 100,Operations,Customer Activity
Single-Month Customer Rate,Customers who ordered only once,Single-Month Customers / Total × 100,Operations,Customer Activity
Weekend Orders,Orders placed on weekends,COUNT orders where Weekend = true,Operations,Weekend Analysis
Weekday Orders,Orders placed on weekdays,COUNT orders where Weekend = false,Operations,Weekend Analysis
Peak Day,Day with highest order volume,MAX(orders) by day of week,Operations,Peak Days Analysis
Customer Order Frequency,Distribution of orders per customer,GROUP customers by order count ranges,Operations,Customer Frequency
Product Revenue,Total revenue by product,SUM(total_amount) per product,Product,Product Performance
Product OTIF %,OTIF rate by individual product,(OTIF Orders / Total Orders) × 100 per product,Product,Product Performance
Product Fill Rate,Delivery completion by product,(Delivered Qty / Ordered Qty) × 100 per product,Product,Product Performance
Product Shortfall,Undelivered quantity by product,Ordered Qty - Delivered Qty per product,Product,Product Shortfall
Category Revenue Share,Revenue percentage by category,Category Revenue / Total Revenue × 100,"Product, Executive",Category Summary
Category OTIF %,OTIF rate by category,(OTIF Orders / Total Orders) × 100 per category,"Product, Executive",Category Summary
Avg Order Value (Category),Average order value by category,Category Revenue / Category Orders,Product,Category Summary
Category Shortfall Rate,Shortfall percentage by category,(Undelivered Qty / Ordered Qty) × 100 per category,Product,Category Summary
